구,엘리베이터개수평균,휠체어리프트개수평균
강남구,3.2857142857142856,0.23809523809523808
강동구,3.6153846153846154,0.3076923076923077
강북구,2.6666666666666665,0.0
강서구,3.0,0.3333333333333333
관악구,2.6666666666666665,0.0
광진구,2.888888888888889,0.2777777777777778
구로구,2.9285714285714284,2.357142857142857
금천구,4.0,4.0
노원구,2.9545454545454546,0.6363636363636364
도봉구,4.666666666666667,1.3333333333333333
동대문구,3.0,1.4166666666666667
동작구,3.125,0.2916666666666667
마포구,3.142857142857143,0.5
서대문구,2.6,0.2
서초구,3.35,0.4
성동구,2.9615384615384617,0.3076923076923077
성북구,2.7777777777777777,0.3333333333333333
송파구,3.5952380952380953,0.14285714285714285
양천구,2.8,0.2
영등포구,3.6666666666666665,0.1111111111111111
용산구,3.375,0.375
은평구,2.227272727272727,0.5454545454545454
종로구,2.9444444444444446,0.14814814814814814
중구,2.9102564102564106,0.3205128205128205
중랑구,2.875,0.25
