구,전철역 개수,엘리베이터개수평균,휠체어리프트개수평균,충전소개수,연단간격점수평균,역개수,콜택시대기초,Unnamed: 0_x,의료시설점수,Unnamed: 0_y,체육시설점수,지체장애인인구수,저상버스비율2
강남구,37,3.2857142857142856,0.238095238095238,23,1.328,25,1266.7836629001883,17,4.522264508786916,17,0.4898550186149549,5864,0.6689165186500888
강동구,14,3.6153846153846154,0.3076923076923077,22,1.1199776785714286,12,1101.2852564102564,23,3.204883572555594,23,1.7303817698300328,7744,0.6213355048859935
강북구,9,2.6666666666666665,0.0,21,1.3708333333333331,3,1336.6562647754138,22,2.0169753708537206,22,0.4507647059693246,7104,0.4697855750487329
강서구,24,3.0,0.3333333333333333,37,1.3794642857142858,14,1248.198975465085,11,2.289353868916624,11,1.1647143958868764,11373,0.6134997688395747
관악구,8,2.6666666666666665,0.0,34,1.228125,4,1274.7515683814304,16,2.2515493949238894,16,0.8861856626664901,8170,0.6635170603674541
광진구,12,2.888888888888889,0.2777777777777778,37,1.210669191919192,11,894.4930671103716,14,4.031658125618341,14,1.4932505656091235,5198,0.6207233626588465
구로구,13,2.9285714285714284,2.357142857142857,15,1.128317901234568,9,1214.015022330491,3,2.7997045581504,3,0.5394908559994925,7740,0.5494643982356647
금천구,4,4.0,4.0,19,1.25,2,1191.1597222222222,6,2.6766019340778584,6,0.50458842622165,4907,0.5568965517241379
노원구,16,2.9545454545454546,0.6363636363636364,59,1.239608134920635,14,1031.992637725311,0,1.9291373940036651,0,0.9052398240148168,10829,0.4806889352818371
도봉구,9,4.666666666666667,1.3333333333333333,26,1.6962499999999998,5,1098.5920119447555,4,1.807635299891287,4,0.7483180738231758,6317,0.4969957081545064
동대문구,16,3.0,1.4166666666666667,17,1.5261607142857143,10,1098.358695652174,5,5.517863342114476,5,0.6102376329001962,6813,0.8137595552466991
동작구,23,3.125,0.2916666666666667,2,1.2927083333333331,15,1317.2103896103897,9,4.105028171201068,9,0.9434396695706084,5671,0.4701149425287356
마포구,22,3.142857142857143,0.5,0,1.181498015873016,21,983.805610561056,10,3.482763402895539,10,0.9355581434168614,5133,0.5716240875912408
서대문구,7,2.6,0.2,36,1.5483217592592593,6,1168.9032438478748,12,4.3833919771931384,12,0.8725797540976074,5028,0.6233894945490585
서초구,19,3.35,0.4,22,1.3017857142857143,14,1343.8249832999331,18,4.193792220502937,18,0.2807255393632618,3899,0.4771660264618011
성동구,21,2.9615384615384617,0.3076923076923077,17,1.213599537037037,18,1209.2178492239468,13,4.301375826228464,13,0.5148126055733674,4713,0.533920704845815
성북구,15,2.7777777777777777,0.3333333333333333,18,1.254788961038961,11,1218.5161936560935,21,3.702835376334272,21,0.434241639689419,7270,0.4441649899396378
송파구,28,3.5952380952380953,0.1428571428571428,31,1.1857783564814814,24,1235.593112244898,15,2.955443970511503,15,1.3745096468098157,8045,0.775233644859813
양천구,6,2.8,0.2,17,1.253125,5,1365.652913499819,19,2.869478080991432,19,0.8291372838591213,7290,0.7120451693851945
영등포구,20,3.6666666666666665,0.1111111111111111,34,1.1959325396825398,14,1160.0430672268908,2,5.0924341497374845,2,0.9653013645352596,5970,0.5824069598840019
용산구,18,3.375,0.375,18,1.0976273148148148,12,1192.6762523191094,8,2.959693186164157,8,0.4341827112782574,2978,0.6804780876494024
은평구,14,2.227272727272727,0.5454545454545454,21,1.4328525641025642,13,1198.487656033287,20,2.698426927465045,20,1.5785952766044158,8585,0.6304050978607192
종로구,13,2.9444444444444446,0.1481481481481481,12,1.3438644688644688,13,1086.4984779299848,7,5.655149030896462,7,0.3752129827107017,2344,0.6204583566238122
중구,22,2.9102564102564106,0.3205128205128205,15,1.457697940287226,21,1293.690476190476,1,5.264536450143767,1,0.3510336375451873,2332,0.6733668341708543
중랑구,16,2.875,0.25,33,1.0738636363636365,11,949.003003003003,24,2.9297168467087555,24,0.8909126637500401,9086,0.6936193619361937
