구,연단간격점수평균,역개수
도봉구,1.6962499999999998,5
서대문구,1.5483217592592593,6
동대문구,1.5261607142857143,10
중구,1.457697940287226,21
은평구,1.4328525641025642,13
강서구,1.3794642857142858,14
강북구,1.3708333333333333,3
종로구,1.3438644688644688,13
강남구,1.328,25
서초구,1.3017857142857143,14
동작구,1.2927083333333333,15
성북구,1.254788961038961,11
양천구,1.253125,5
금천구,1.25,2
노원구,1.239608134920635,14
관악구,1.228125,4
성동구,1.213599537037037,18
광진구,1.2106691919191919,11
영등포구,1.1959325396825398,14
송파구,1.1857783564814814,24
마포구,1.181498015873016,21
구로구,1.1283179012345679,9
강동구,1.1199776785714286,12
용산구,1.0976273148148148,12
중랑구,1.0738636363636365,11
