,지하철역,구
0,청량리역1호선,동대문구
1,제기동역1호선,동대문구
2,신설동역1호선,동대문구
3,동묘앞역1호선,종로구
4,동대문역1호선,종로구
5,종로5가역1호선,종로구
6,종로3가역1호선,종로구
7,종각역1호선,종로구
8,시청역1호선,중구
9,서울역1호선,중구
10,시청역2호선,중구
11,을지로입구역2호선,중구
12,을지로3가역2호선,중구
13,을지로4가역2호선,중구
14,동대문역사문화공원역2호선,중구
15,신당역2호선,중구
16,상왕십리역2호선,성동구
17,왕십리역2호선,성동구
18,한양대역2호선,성동구
19,뚝섬역2호선,성동구
20,성수역2호선,성동구
21,건대입구역2호선,광진구
22,구의역2호선,광진구
23,강변역2호선,광진구
24,잠실나루역2호선,송파구
25,잠실역2호선,송파구
26,잠실새내역2호선,송파구
27,종합운동장역2호선,송파구
28,삼성역2호선,강남구
29,선릉역2호선,강남구
30,역삼역2호선,강남구
31,강남역2호선,강남구
32,교대역2호선,서초구
33,서초역2호선,서초구
34,방배역2호선,서초구
35,사당역2호선,동작구
36,낙성대역2호선,관악구
37,서울대입구역2호선,관악구
38,봉천역2호선,관악구
39,신림역2호선,관악구
40,신대방역2호선,동작구
41,구로디지털단지역2호선,구로구
42,대림역2호선,구로구
43,신도림역2호선,구로구
44,문래역2호선,영등포구
45,영등포구청역2호선,영등포구
46,당산역2호선,영등포구
47,합정역2호선,마포구
48,홍대입구역2호선,마포구
49,신촌역2호선,마포구
50,이대역2호선,마포구
51,아현역2호선,마포구
52,충정로역2호선,서대문구
53,용답역2호선,성동구
54,신답역2호선,성동구
55,용두역2호선,동대문구
56,신설동역2호선,동대문구
57,도림천역2호선,구로구
58,양천구청역2호선,양천구
59,신정네거리역2호선,양천구
61,구파발역3호선,은평구
62,연신내역3호선,은평구
63,불광역3호선,은평구
64,녹번역3호선,은평구
65,홍제역3호선,서대문구
66,무악재역3호선,서대문구
67,독립문역3호선,서대문구
68,경복궁역3호선,종로구
69,안국역3호선,종로구
70,종로3가역3호선,종로구
71,을지로3가역3호선,중구
72,충무로역3호선,중구
73,동대입구역3호선,중구
74,약수역3호선,중구
75,금호역3호선,성동구
76,옥수역3호선,성동구
77,압구정역3호선,강남구
78,신사역3호선,강남구
79,잠원역3호선,서초구
80,고속터미널역3호선,서초구
81,교대역3호선,서초구
82,남부터미널역3호선,서초구
83,양재역3호선,서초구
84,매봉역3호선,강남구
85,도곡역3호선,강남구
86,대치역3호선,강남구
87,학여울역3호선,강남구
88,대청역3호선,강남구
89,일원역3호선,강남구
90,수서역3호선,강남구
91,가락시장역3호선,송파구
92,경찰병원역3호선,송파구
93,오금역3호선,송파구
94,당고개역4호선,노원구
95,상계역4호선,노원구
96,노원역4호선,노원구
97,창동역4호선,도봉구
98,쌍문역4호선,도봉구
99,수유역4호선,강북구
100,미아역4호선,강북구
101,미아사거리역4호선,강북구
102,길음역4호선,성북구
103,성신여대입구역4호선,성북구
