전철역명,호선,주소,위도,경도,구
석계,1호선,서울 노원구 화랑로 341,37.6153059403184,127.065647254398,노원구
서울,1호선,서울 중구 세종대로 지하 2,37.5571594835988,126.972554606456,중구
영등포,1호선,서울 영등포구 여의대방로 300,37.5133254586186,126.926303024833,영등포구
대방,1호선,서울 영등포구 여의대방로 300,37.5133254586186,126.926303024833,영등포구
신도림,1호선,서울 구로구 새말로 지하 117-21,37.5087701449787,126.891080501385,구로구
도봉,1호선,서울 도봉구 덕릉로 376,37.6456959058103,127.050919992127,도봉구
개봉,1호선,서울 구로구 경인로40길 47,37.4945222528654,126.859102583368,구로구
회기,1호선,서울 동대문구 회기로 196,37.5897442387671,127.058035421223,동대문구
청량리,1호선,서울 동대문구 왕산로 지하 205,37.5802331563072,127.045085886324,동대문구
제기동,1호선,서울 동대문구 왕산로 지하 93,37.5781967284885,127.034690599752,동대문구
신설동,1호선,서울 동대문구 왕산로 지하 1,37.5747187974165,127.025093714935,동대문구
독산,1호선,서울 금천구 벚꽃로 115,37.4659873169402,126.889514168718,금천구
동묘앞,1호선,서울 종로구 종로 359,37.5733722075697,127.01675118037,종로구
남영,1호선,서울 용산구 한강대로77길 25,37.5405646005342,126.971332437837,용산구
구로,1호선,서울 구로구 부일로 872,37.4924739158747,126.824038632379,구로구
창동,1호선,서울 도봉구 덕릉로 376,37.6456959058103,127.050919992127,도봉구
도봉산,1호선,서울 도봉구 도봉로 948,37.688861412909,127.046140090232,도봉구
온수,1호선,서울 구로구 부일로 872,37.4924739158747,126.824038632379,구로구
동대문,1호선,서울 동대문구 한천로 472,37.6028888684259,127.067716768604,동대문구
신이문,1호선,서울 동대문구 한천로 472,37.6028888684259,127.067716768604,동대문구
종로5가,1호선,서울 종로구 종로 지하 216,37.5709075371016,127.001916647342,종로구
가산디지털단지,1호선,서울 금천구 벚꽃로 309,37.4815957375443,126.882559483336,금천구
금천구청,1호선,서울 금천구 시흥대로63길 91,37.455609978438,126.894514076077,금천구
종로3가,1호선,서울 종로구 돈화문로 지하 30,37.5711402785938,126.991994361467,종로구
오류동,1호선,서울 구로구 경인로20길 13,37.494359185399,126.844600701673,구로구
구일,1호선,서울 구로구 구일로 133,37.4963911827294,126.869920428658,구로구
녹천,1호선,서울 도봉구 덕릉로 376,37.6456959058103,127.050919992127,도봉구
방학,1호선,서울 도봉구 도봉로150다길 3,37.6663490420969,127.044424667701,도봉구
종각,1호선,서울 종로구 종로 지하 55,37.5702140381269,126.983239678933,종로구
시청,1호선,서울 중구 세종대로 지하 101,37.5654385176408,126.976983237511,중구
용산,1호선,서울 용산구 한강대로23길 55,37.5297718014452,126.964741503485,용산구
노량진,1호선,서울 동작구 노량진로 151,37.5158026675555,126.948359181242,동작구
외대앞,1호선,서울 동대문구 휘경로 27,37.5954136758127,127.063058800869,동대문구
광운대,1호선,서울 노원구 석계로 98-2,37.6230335564713,127.06176348127,노원구
월계,1호선,서울 도봉구 덕릉로 376,37.6456959058103,127.050919992127,도봉구
신길,1호선,서울 영등포구 여의대방로 300,37.5133254586186,126.926303024833,영등포구
대림,2호선,서울 구로구 도림천로 351,37.4933105886136,126.8949461878,구로구
신촌,2호선,서울 마포구 신촌로 지하 90,37.5554417865984,126.936119192554,마포구
이대,2호선,서울 마포구 신촌로 지하 180,37.5567980142044,126.945758201019,마포구
까치산,2호선,서울 강서구 강서로 지하 54,37.5319560847746,126.846611592059,강서구
시청,2호선,서울 중구 서소문로 지하 127,37.5635793508101,126.975389363157,중구
충정로,2호선,서울 서대문구 서소문로 지하 17,37.5598377952439,126.964474043785,서대문구
동대문역사문화공원,2호선,서울 중구 을지로 지하 279,37.5655895229776,127.009131498424,중구
